Sno,Address,City,State code,Country,Rental Price,Deposit
116438220,"Eucalyptus Bnd, Unit 14015",austin,tx,usa,"$2,579","$2,579"
116176155,"Red River St, Unit 2811",austin,tx,usa,"$7,740",$350
97261891,"Austin, TX",austin,tx,usa,"$26,760",none
116176697,"7415 Menchaca Rd, Unit A",austin,tx,usa,"$1,387",none
117180395,1120 Shady LaneUnit APT 2210-EA2,austin,tx,usa,"$1,785",none
116555221,"7008 Meador Avenue, Austin, TX 78752, USA",austin,tx,usa,"$2,300",none
96342310,"Austin, TX",austin,tx,usa,"$17,880",none
115335764,"70 Rainey, 70 Rainey Street, Austin, TX 78701, USA",austin,tx,usa,"$5,900",none
114827995,"1511 Betty Jo Drive, Austin, TX 78741, USA",austin,tx,usa,"$3,995",none
117581165,"Railway Summit Drive, Travis County, TX 78747, USA",austin,tx,usa,"$2,500",none
96539903,"Austin, TX",austin,tx,usa,"$4,440",none
117197212,"2100 Fordham Cove, Austin, TX 78723, USA",austin,tx,usa,"$1,995",none
117192293,"2910 Cedarview Drive, Austin, TX 78704, USA",austin,tx,usa,"$7,250",none
115934479,"1479 Hyde Street, Austin, TX 78741, USA",austin,tx,usa,"$3,750",none
117576344,"1912 Lightsey Road, Austin, TX 78704, USA",austin,tx,usa,"$1,950",none
111216880,"612 Park Place, Austin, TX 78705, USA",austin,tx,usa,"$1,750",none
116230700,"510 El Paso Street, Austin, TX 78704, USA",austin,tx,usa,"$3,100",none
116890147,"16 Hull Circle, West Lake Hills, West Lake Hills, TX 78746, USA",austin,tx,usa,"$7,295",none
96997770,"Jonestown, TX",austin,tx,usa,"$9,840",none
116801003,9201 Quail Wood Dr,austin,tx,usa,"$2,695","$2,695"
117194841,"unnamed road, Cedar Park, TX 78717, USA",austin,tx,usa,"$2,195",none
107435111,"304 Moore Boulevard, Austin, TX 78705, USA",austin,tx,usa,"$7,000",none
114789895,"1507 Pease Road, Austin, TX 78799, USA",austin,tx,usa,"$2,250",none
117583091,"2816 Moreno Street, Austin, TX 78723, USA",austin,tx,usa,"$5,000",none
115073661,"2912 Shotgun Lane, Travis County, TX 78748, USA",austin,tx,usa,"$2,295",none
111375916,"2520 Longview Street, Austin, TX 78705, USA",austin,tx,usa,"$3,450",none
117569631,10304 D K Ranch Road,austin,tx,usa,"$4,995","$4,995"
