Sno,No of Bed,No of Bathroom,Area,Pets Allowed
116438220,3.0,2.5,2226.0,"Dogs,Cats"
116176155,3.0,3.0,2220.0,"Dogs,Cats"
97261891,4.0,4.0,3578.0,No pets
116176697,1.0,1.0,726.0,"Dogs,Cats"
117180395,1.0,1.0,643.0,"Dogs,Cats"
116555221,2.0,2.5,1089.0,
96342310,4.0,4.0,2444.0,No pets
115335764,2.0,2.0,1321.0,
114827995,3.0,2.0,1526.0,
117581165,3.0,2.5,1641.0,
96539903,1.0,1.0,744.0,"Dogs,Cats"
117197212,4.0,2.0,1476.0,
117192293,3.0,2.0,2248.0,
115934479,3.0,3.5,1888.0,
117576344,2.0,1.5,1034.0,
111216880,2.0,1.0,620.0,
116230700,2.0,2.5,978.0,
116890147,3.0,2.0,2007.0,
96997770,3.0,2.0,1245.0,No pets
116801003,4.0,2.0,2086.0,"Dogs,Cats"
117194841,3.0,2.5,1864.0,
107435111,6.0,5.0,2715.0,
114789895,3.0,2.0,1400.0,
117583091,5.0,3.0,2843.0,
115073661,3.0,2.0,1620.0,
111375916,2.0,2.0,1161.0,
117569631,4.0,2.0,2166.0,No pets
95865800,2.0,3.0,983.0,No pets
117430484,1.0,1.0,638.0,
114038971,5.0,4.0,1926.0,"Dogs,Cats"
115349979,1.0,1.0,6168.0,
106935384,4.0,2.0,1586.0,"Dogs,Cats"
115358366,4.0,2.5,2416.0,
117713700,3.0,3.5,2556.0,
96900837,2.0,1.0,850.0,No pets
113581579,2.0,2.0,1159.0,"Dogs,Cats"
111663574,2.0,1.0,723.0,
110485636,3.0,3.0,2009.0,
117185062,3.0,2.0,1705.0,
115349246,4.0,3.0,2246.0,
97237854,1.0,1.0,776.0,"Dogs,Cats"
117435256,2.0,1.0,623.0,
117427920,3.0,2.5,1422.0,
115665894,2.0,2.0,929.0,
114806808,2.0,1.0,848.0,
117185766,5.0,3.0,2569.0,
117716527,3.0,2.0,1628.0,
117180399,1.0,1.0,985.0,"Dogs,Cats"
115032001,2.0,2.5,1167.0,
117183656,3.0,2.0,1372.0,
115667026,4.0,2.5,2407.0,
117180435,1.0,1.0,652.0,"Dogs,Cats"
116550249,2.0,2.5,1041.0,
116895366,4.0,2.0,1490.0,
100236415,3.0,2.0,1200.0,"Dogs,Cats"
109121678,5.0,5.0,4155.0,"Dogs,Cats"
98263075,2.0,2.0,1156.0,"Dogs,Cats"
98808834,3.0,2.0,1450.0,"Dogs,Cats"
96659906,5.0,3.0,2956.0,No pets
117709617,4.0,3.5,3368.0,
115656465,3.0,3.0,2389.0,
114753540,-1.0,-1.0,-1.0,
115350159,-1.0,1.0,7420.0,
97285041,2.0,2.0,1100.0,"Dogs,Cats"
117431067,4.0,2.5,2088.0,
97974501,1.0,1.0,450.0,No pets
113768887,4.0,2.0,1340.0,
116232218,1.0,1.0,679.0,
97912779,5.0,3.0,2100.0,No pets
114039355,2.0,2.0,813.0,No pets
97054825,3.0,2.0,1659.0,No pets
117185346,3.0,2.5,1571.0,
96701261,1.0,1.0,285.0,"Dogs,Cats"
113120861,3.0,2.0,1659.0,
117435439,-1.0,-1.0,-1.0,
117715732,3.0,2.5,1571.0,
108393373,3.0,2.5,1385.0,
114807649,3.0,2.5,1486.0,
116560503,3.0,2.5,1498.0,
115046070,4.0,3.0,1796.0,
117578618,4.0,3.0,2043.0,
114820628,2.0,2.5,1142.0,
115061587,4.0,3.5,3098.0,
117188834,4.0,3.0,2786.0,
96878153,3.0,3.0,1321.0,No pets
98164258,1.0,1.0,398.0,No pets
116227371,3.0,2.5,2012.0,
117577948,3.0,2.0,1793.0,
