Sno,Washer/Dryer,AC,Parking,Fireplace,Dishwasher,Hardwood Floors,Roof Deck,Storage
116438220,False,True,False,False,True,False,False,True
116176155,False,False,False,False,True,True,False,True
97261891,False,True,True,False,True,False,False,False
116176697,False,False,False,False,True,True,False,False
117180395,False,False,False,False,False,False,False,False
116555221,False,False,False,False,False,False,False,False
96342310,False,True,True,False,True,False,False,False
115335764,False,False,False,False,False,False,False,False
114827995,False,False,False,False,False,False,False,False
117581165,False,False,False,False,False,False,False,False
96539903,False,True,True,False,True,False,False,False
117197212,False,False,False,False,False,False,False,False
117192293,False,False,False,False,False,False,False,False
115934479,False,False,False,False,False,False,False,False
117576344,False,False,False,False,False,False,False,False
111216880,False,False,False,False,False,False,False,False
116230700,False,False,False,False,False,False,False,False
116890147,False,False,False,False,False,False,False,False
96997770,False,True,True,True,True,False,False,False
116801003,False,False,False,False,True,False,False,False
117194841,False,False,False,False,False,False,False,False
107435111,False,False,False,False,False,False,False,False
114789895,False,False,False,False,False,False,False,False
117583091,False,False,False,False,False,False,False,False
115073661,False,False,False,False,False,False,False,False
111375916,False,False,False,False,False,False,False,False
117569631,False,True,False,False,True,True,False,True
95865800,False,True,True,False,True,False,False,False
117430484,False,False,False,False,False,False,False,False
114038971,False,False,False,False,False,False,False,False
115349979,False,False,False,False,False,False,False,False
106935384,False,False,False,False,True,False,False,False
115358366,False,False,False,False,False,False,False,False
117713700,False,False,False,False,False,False,False,False
96900837,False,True,True,False,False,False,False,False
113581579,False,True,True,False,True,False,False,False
111663574,False,False,False,False,False,False,False,False
110485636,False,False,False,False,False,False,False,False
117185062,False,False,False,False,False,False,False,False
115349246,False,False,False,False,False,False,False,False
97237854,False,True,True,False,True,False,False,False
117435256,False,False,False,False,False,False,False,False
117427920,False,False,False,False,False,False,False,False
115665894,False,False,False,False,False,False,False,False
114806808,False,False,False,False,False,False,False,False
117185766,False,False,False,False,False,False,False,False
117716527,False,False,False,False,False,False,False,False
117180399,False,False,False,False,False,False,False,False
115032001,False,False,False,False,False,False,False,False
117183656,False,False,False,False,False,False,False,False
115667026,False,False,False,False,False,False,False,False
117180435,False,False,False,False,False,False,False,False
116550249,False,False,False,False,False,False,False,False
116895366,False,False,False,False,False,False,False,False
100236415,False,True,True,True,True,False,False,False
109121678,False,True,True,True,True,False,False,False
98263075,False,True,True,False,True,False,False,False
98808834,False,True,True,False,True,False,False,False
96659906,False,True,True,True,True,False,False,False
117709617,False,False,False,False,False,False,False,False
115656465,False,False,False,False,False,False,False,False
114753540,False,False,False,False,False,False,False,False
115350159,False,False,False,False,False,False,False,False
97285041,False,True,True,False,True,False,False,False
117431067,False,False,False,False,False,False,False,False
97974501,False,True,True,False,True,False,False,False
113768887,False,False,False,False,False,False,False,False
116232218,False,False,False,False,False,False,False,False
97912779,False,True,True,False,True,False,False,False
114039355,False,True,False,False,True,True,False,True
97054825,False,True,True,False,True,False,False,False
117185346,False,False,False,False,False,False,False,False
96701261,False,True,True,False,False,False,False,False
113120861,False,False,False,False,False,False,False,False
117435439,False,False,False,False,False,False,False,False
117715732,False,False,False,False,False,False,False,False
